lib_sizes,x_xmap_y_means,y_xmap_x_means,x_xmap_y_Sig,y_xmap_x_Sig,x_xmap_y_upper,x_xmap_y_lower,y_xmap_x_upper,y_xmap_x_lower
190,0.0421563771974462,0.0809410581685663,0.245975393571958,0.0932444972750901,0.16116351384051,-0.0780591275833355,0.198833886873114,-0.0392609224620197
195,0.0438215248518449,0.0799872804514605,0.237496333819762,0.0958749130363238,0.162787976505125,-0.0764008470733296,0.197911671124474,-0.0402193995408629
200,0.0454395051407431,0.0789798229299005,0.229412680646592,0.0987118754679657,0.164365806676374,-0.0747889020687152,0.196937325148862,-0.0412315807205285
205,0.0463769160631996,0.0783199192259154,0.224800319473926,0.100602958440529,0.16527967742685,-0.0738547002620059,0.196298983812336,-0.0418944447978089
210,0.0470792160428578,0.0775465425121625,0.221379315472585,0.102852500174538,0.165964207554859,-0.0731546662333843,0.19555074990394,-0.0426711562677661
215,0.0479738460278953,0.0768144843002938,0.217064622891405,0.105015129706056,0.166836035384967,-0.0722627511285792,0.194842364622696,-0.043406237220565
220,0.0488748680691771,0.0760613009062726,0.212768349152647,0.107274128126246,0.167713904531478,-0.0713642689535201,0.194113408761623,-0.0441623947529878
225,0.0493166472428229,0.0750913550044336,0.210680012588607,0.110234288551597,0.168144262786333,-0.0709236637975246,0.19317447086648,-0.0451359678573185
230,0.0494978593227138,0.0745608757481379,0.209826874300316,0.111877674992922,0.168320777054008,-0.0707429197128431,0.192660858890889,-0.0456683342992908
235,0.0497146389463215,0.0744798180097939,0.208808943112862,0.112130312416673,0.168531926788481,-0.0705266895677279,0.192582372789395,-0.0457496743870962
240,0.0502791539023103,0.0746234903317208,0.206171768701837,0.111682797719908,0.16908172980585,-0.0699635524735118,0.192721485930469,-0.0456055005181015
245,0.0509337270709624,0.0745954871143254,0.20313859608371,0.111769923117611,0.16971915145207,-0.069310481012186,0.192694371716914,-0.0456336018851745
250,0.0518671798787693,0.0744483012031692,0.198859269818817,0.112228652102868,0.170627973469969,-0.0683789913938538,0.192551855476608,-0.0457813005461731
255,0.0531499908717864,0.0741914440170333,0.193067303283333,0.113032391273153,0.171876605674781,-0.0670985362225699,0.192303135495328,-0.0460390399522375
260,0.0543215805904092,0.0745662069908486,0.187868015017558,0.111861072992629,0.173016646744683,-0.0659287519006704,0.192666020941695,-0.0456629844303176
265,0.0555835766656596,0.0737469380078299,0.182364725615095,0.114432942279965,0.174244303989015,-0.0646683306481474,0.191872675527965,-0.0464850348753808
